Dataset,RQ,Model,Parameter,F1 Score,Accuracy,Precision,Recall
3,2,randomforest,10.0,0.3129827232329074,0.3149394347240915,0.3165588835548939,0.316708680345044
3,2,randomforest,25.0,0.35102240831469295,0.351278600269179,0.3537065280837523,0.35227139772594324
3,2,randomforest,50.0,0.3425431878971217,0.34320323014804843,0.3451746869087122,0.3439165257347076
3,2,randomforest,100.0,0.36384166670790874,0.36473755047106327,0.36439362195082475,0.3666783666783667
3,2,randomforest,200.0,0.3850866858073199,0.38627187079407804,0.3894751073808023,0.3878128423582969
3,2,randomforest,500.0,0.3679926863266248,0.36877523553162855,0.36917454769104036,0.37017773381409746
3,2,gradientboosting,10.0,0.373775305911275,0.3835800807537012,0.40012784744031454,0.38496761224033954
3,2,gradientboosting,25.0,0.3821935930825815,0.3835800807537012,0.39221146085552866,0.3834306561579289
3,2,gradientboosting,50.0,0.38381723510976223,0.3835800807537012,0.38726318434471435,0.38415392960847505
3,2,gradientboosting,100.0,0.3875893218460919,0.3876177658142665,0.3901596996614914,0.3882861610134338
3,2,gradientboosting,200.0,0.37269954761116625,0.3728129205921938,0.37511014378476665,0.3734962825871917
3,2,gradientboosting,500.0,0.3485215394479406,0.34858681022880217,0.35033685927695674,0.3484316666134848
3,2,extratrees,10.0,0.345468937092762,0.3472409152086137,0.3461685772035068,0.3488624397715307
3,2,extratrees,25.0,0.3588676803642689,0.360699865410498,0.3605581882528089,0.3620036801854984
3,2,extratrees,50.0,0.3629099846555605,0.3633916554508748,0.3653220195094955,0.3644872735781827
3,2,extratrees,100.0,0.3819072199060287,0.3822341857335128,0.381441208014808,0.38377102013465647
3,2,extratrees,200.0,0.3584597903575752,0.35935397039030953,0.35806794902492883,0.3610783156237702
3,2,extratrees,500.0,0.37118413355216534,0.3714670255720054,0.3709545271402714,0.37275173638810005
3,5,svm,0.001,0.1806826434277415,0.3717872086072923,0.1239290695357641,0.3333333333333333
3,5,svm,0.01,0.1806826434277415,0.3717872086072923,0.1239290695357641,0.3333333333333333
3,5,svm,0.5,0.3543871565351174,0.4202032277346085,0.4595905299455043,0.39656090781223735
3,5,svm,1.0,0.3942186934278362,0.4351464435146444,0.4622199865834215,0.41637731206552564
3,5,svm,5.0,0.42336223011823,0.4411237298266587,0.44491202122648876,0.42958136789560125
3,5,svm,10.0,0.4251213687741326,0.43813508667065154,0.44029590767462407,0.4286022276337549
3,5,svm,20.0,0.43341746454525126,0.44411237298266587,0.4448323338594675,0.4359116819427266
3,5,svm_rbf,0.001,0.1806826434277415,0.3717872086072923,0.1239290695357641,0.3333333333333333
3,5,svm_rbf,0.01,0.1806826434277415,0.3717872086072923,0.1239290695357641,0.3333333333333333
3,5,svm_rbf,0.5,0.3543871565351174,0.4202032277346085,0.4595905299455043,0.39656090781223735
3,5,svm_rbf,1.0,0.3942186934278362,0.4351464435146444,0.4622199865834215,0.41637731206552564
3,5,svm_rbf,5.0,0.42336223011823,0.4411237298266587,0.44491202122648876,0.42958136789560125
3,5,svm_rbf,10.0,0.4251213687741326,0.43813508667065154,0.44029590767462407,0.4286022276337549
3,5,svm_rbf,20.0,0.43341746454525126,0.44411237298266587,0.4448323338594675,0.4359116819427266
